ID,Scenario,New Pipeline,Costs,Capturable CO2 (kt),Lat1,Long1,SUM(Total cost toggle),Latitude (generated),Longitude (generated),ATTR(CO2 emissions (kt)),ATTR(Capturable CO2 (kt)),ATTR(Capture cost - high (EUR/t CO2)),ATTR(Capture costs - low (EUR/t CO2)),ATTR(Facility name),ATTR(Sector_reviewed),ATTR(Selected storage),ATTR(Selected transport),ATTR(Total costs - high (EUR/t CO2)),ATTR(Total costs - low (EUR/t CO2)),ATTR(Transport + storage (EUR/t) - high),ATTR(Transport + storage (EUR/t) - low)
0,Short term,Not possible,High estimates,33840.0,51.265782,19.315338,244.44343993464508,51.265782,19.315338,"37,600",33840.0,85,80,"PGE Górnictwo i Energetyka Konwencjonalna S.A., Oddział Elektrownia Bełchatów",Power and heat,Storage far,Railway 0_5,244.44343993464508,214.44343993464508,159.44343993464508,134.44343993464508
1,Short term,Not possible,High estimates,26910.0,51.0372235083,6.5992010849,146.64738043042286,51.0372235083,6.5992010849,"29,900",26910.0,90,75,RWE Power AG,Power and heat,Storage point 100_200,Pipeline 0_10,146.64738043042286,106.64738043042287,56.64738043042287,31.64738043042287
2,Short term,Not possible,High estimates,24480.0,50.9709268243,6.66658162215,146.64738043042286,50.9709268243,6.66658162215,"27,200",24480.0,90,75,RWE Power AG Kraftwerk Niederaußem,Power and heat,Storage point 100_200,Pipeline 0_10,146.64738043042286,106.64738043042287,56.64738043042287,31.64738043042287
3,Short term,Not possible,High estimates,21600.0,51.8336010742,14.4579893421,249.44343993464508,51.8336010742,14.4579893421,"24,000",21600.0,90,75,"LEAG, Kraftwerk Jänschwalde",Power and heat,Storage far,Railway 0_5,249.44343993464508,209.44343993464508,159.44343993464508,134.44343993464508
4,Short term,Not possible,High estimates,17190.0,51.4188479815,14.5743200177,219.876858019566,51.4188479815,14.5743200177,"19,100",17190.0,90,70,Kraftwerk Boxberg,Power and heat,Storage far,Waterway 50_100,219.876858019566,174.876858019566,129.876858019566,104.876858019566
5,Short term,Not possible,High estimates,17190.0,50.833162052,6.31457811542,162.87669714313998,50.833162052,6.31457811542,"19,100",17190.0,90,70,RWE Power AG,Power and heat,Storage point 100_200,Waterway 50_100,162.87669714313998,117.87669714313998,72.87669714313998,47.87669714313998
6,Short term,Not possible,High estimates,12420.0,51.664722,21.466666,254.44343993464508,51.664722,21.466666,"13,800",12420.0,95,65,ENEA Wytwarzanie Spółka z ograniczoną odpowiedzialnością,Power and heat,Storage far,Railway 0_5,254.44343993464508,199.44343993464508,159.44343993464508,134.44343993464508
7,Short term,Not possible,High estimates,11693.565,53.73669999999999,-0.9965279999999999,108.65273564224303,53.73669999999999,-0.9965279999999999,"12,993",11693.565,90,70,Drax Power Station,Power and heat,Storage point 0_100,Pipeline 0_10,108.65273564224303,88.65273564224303,18.652735642243023,18.652735642243023
8,Short term,Not possible,High estimates,10350.0,51.5354973928,14.3535757297,254.44343993464508,51.5354973928,14.3535757297,"11,500",10350.0,95,65,"LEAG, Kraftwerk Schwarze Pumpe",Power and heat,Storage far,Railway 0_5,254.44343993464508,199.44343993464508,159.44343993464508,134.44343993464508
9,Short term,Not possible,High estimates,10260.0,51.1841395368,12.3716433864,157.11792676541205,51.1841395368,12.3716433864,"11,400",10260.0,95,65,LEAG Lausitz Energie Kraftwerke AG  Kraftwerk Lippendorf,Power and heat,Storage far,Pipeline 0_10,157.11792676541205,102.11792676541204,62.11792676541203,37.11792676541203
